#DEG_AC	#Gene_Name	#Gene_Ref	#COG	#Class	#Function	#Organism	#Refseq	#Condition
DEG20010899	RFC3	GI:6324039	-	-	Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010900	MRPS18	GI:6324023	-	-	Mitochondrial ribosomal protein of the small subunit; essential for viability, unlike most other mitoribosomal proteins	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010901	KRI1	GI:6324021	-	-	Essential nucleolar protein required for 40S ribosome biogenesis; physically and functionally interacts with Krr1p	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010902	ZIM17	GI:99030930	-	-	Heat shock protein with a zinc finger motif; essential for protein import into mitochondria; may act with Pam18p to facilitate recognition and folding of imported proteins by Ssc1p (mtHSP70) in the mitochondrial matrix	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010903	RFA2	GI:6324017	-	-	Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010904	YNL313C	GI:6324016	-	-	Essential protein of unknown function; fluorescent protein (GFP or YFP)-tagged protein localizes to cytoplasm and nucleus	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010905	PFS2	GI:6324012	-	-	Integral subunit of the pre-mRNA cleavage and polyadenylation factor (CPF) complex; plays an essential role in mRNA 3'-end formation by bridging different processing factors and thereby promoting the assembly of the processing complex	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010906	RPC34	GI:6324330	-	-	RNA polymerase III subunit C34; interacts with TFIIIB70 and is a key determinant in pol III recruitment by the preinitiation complex	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010907	PRP2	GI:6324338	-	-	RNA-dependent ATPase in the DEAH-box family, required for activation of the spliceosome before the first transesterification step in RNA splicing	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010908	ACC1	GI:6324343	-	-	Acetyl-CoA carboxylase, biotin containing enzyme that catalyzes the carboxylation of acetyl-CoA to form malonyl-CoA; required for de novo biosynthesis of long-chain fatty acids	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010909	TIM23	GI:6324344	-	-	Essential protein of the mitochondrial inner membrane, component of the mitochondrial import system	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010910	SEC12	GI:6324353	-	-	Guanine nucleotide exchange factor (GEF); glycosylated integral membrane protein of the endoplasmic reticulum, important for the initiation of transport vesicle budding from the endoplasmic reticulum through activation of the GTPase Sar1p	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010911	ARC35	GI:6324363	-	-	Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches; required for cortical localization of calmodulin	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010912	DBP6	GI:6324366	-	-	Essential protein involved in ribosome biogenesis; putative ATP-dependent RNA helicase of the DEAD-box protein family	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010913	MVD1	GI:6324371	-	-	Mevalonate pyrophosphate decarboxylase, essential enzyme involved in the biosynthesis of isoprenoids and sterols, including ergosterol; acts as a homodimer	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010914	TRM112	GI:6324374	-	-	Subunit of tRNA methyltransferase (MTase) complexes in combination with Trm9p and Trm11p; subunit of complex with Mtq2p that methylates Sup45p (eRF1) in the ternary complex eRF1-eRF3-GTP; deletion confers resistance to zymocin	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010915	NOG2	GI:6324381	-	-	Putative GTPase that associates with pre-60S ribosomal subunits in the nucleolus and is required for their nuclear export and maturation	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010916	ESF2	GI:6324382	-	-	Essential nucleolar protein involved in pre-18S rRNA processing; binds to RNA and stimulates ATPase activity of Dbp8; involved in assembly of the small subunit (SSU) processome	Saccharomyces cerevisiae	NC_001146	Rich medium
DEG20010917	RPB11	GI:6324569	-	-	RNA polymerase II subunit B12.5; part of central core; similar to Rpc19p and bacterial alpha subunit	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010918	RCL1	GI:6324564	-	-	Subunit of U3-containing 90S preribosome processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit; similar to RNA terminal phosphate cyclase-like proteins but RNA cyclase activity not detected	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010919	DIS3	GI:6324552	-	-	Exosome core complex catalytic subunit; possesses both endonuclease and 3'-5' exonuclease activity; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase R and to human DIS3	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010920	TSR4	GI:6324551	-	-	Cytoplasmic protein of unknown function; essential gene in S288C background, while tsr4 null mutations in a CEN.PK2 background confer a reduced growth rate	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010921	MIM1	GI:6324547	-	-	Mitochondrial outer membrane protein, required for assembly of the translocase of the outer membrane (TOM) complex and thereby for mitochondrial protein import; N terminus is exposed to the cytosol: transmembrane segment is highly conserved	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010922	SMC5	GI:6324539	-	-	Structural maintenance of chromosomes (SMC) protein; essential subunit of the Mms21-Smc5-Smc6 complex; required for growth and DNA repair; S. pombe homolog forms a heterodimer with S. pombe Rad18p that is involved in DNA repair	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010923	PRE6	GI:6324535	-	-	Alpha 4 subunit of the 20S proteasome; may replace alpha 3 subunit (Pre9p) under stress conditions to create a more active proteasomal isoform; GFP-fusion protein relocates from cytosol to the mitochondrial surface upon oxidative stress	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010924	RPS15	GI:6324533	-	-	Protein component of the small (40S) ribosomal subunit; has similarity to E. coli S19 and rat S15 ribosomal proteins	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010925	RIB2	GI:6324506	-	-	DRAP deaminase, catalyzes the third step of the riboflavin biosynthesis pathway; cytoplasmic tRNA pseudouridine synthase involved in pseudouridylation of cytoplasmic tRNAs at position 32	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010926	NUF2	GI:6324503	-	-	Component of the evolutionarily conserved kinetochore-associated Ndc80 complex (Ndc80p-Nuf2p-Spc24p-Spc25p); involved in chromosome segregation, spindle checkpoint activity and kinetochore clustering	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010927	BRX1	GI:6324496	-	-	Nucleolar protein, constituent of 66S pre-ribosomal particles; depletion leads to defects in rRNA processing and a block in the assembly of large ribosomal subunits; possesses a sigma(70)-like RNA-binding motif	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010928	AVO1	GI:6324494	-	-	Component of a membrane-bound complex containing the Tor2p kinase and other proteins, which may have a role in regulation of cell growth	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010929	RFC4	GI:6324478	-	-	Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010930	WRS1	GI:6324475	-	-	Cytoplasmic tryptophanyl-tRNA synthetase, aminoacylates tryptophanyl-tRNA	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010931	TPT1	GI:6324470	-	-	tRNA 2'-phosphotransferase, catalyzes the final step in yeast tRNA splicing: the transfer of the 2'-PO(4) from the splice junction to NAD(+) to form ADP-ribose 1''-2''cyclic phosphate and nicotinamide	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010932	RPL18A	GI:6324452	-	-	Protein component of the large (60S) ribosomal subunit, identical to Rpl18Bp and has similarity to rat L18 ribosomal protein; intron of RPL18A pre-mRNA forms stem-loop structures that are a target for Rnt1p cleavage leading to degradation	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010933	HRP1	GI:6324449	-	-	Subunit of cleavage factor I, a five-subunit complex required for the cleavage and polyadenylation of pre-mRNA 3' ends; RRM-containing heteronuclear RNA binding protein and hnRNPA/B family member that binds to poly (A) signal sequences	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010934	RPL25	GI:6324445	-	-	Primary rRNA-binding ribosomal protein component of the large (60S) ribosomal subunit, has similarity to E. coli L23 and rat L23a ribosomal proteins; binds to 26S rRNA via a conserved C-terminal motif	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010935	ALR1	GI:6324442	-	-	Plasma membrane Mg(2+) transporter, expression and turnover are regulated by Mg(2+) concentration; overexpression confers increased tolerance to Al(3+) and Ga(3+) ions	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010936	HRT1	GI:6324438	-	-	RING finger containing subunit of Skp1-Cullin-F-box ubiquitin protein ligases (SCF); required for Gic2p, Far1p, Sic1p and Cln2p degradation; may tether Cdc34p (a ubiquitin conjugating enzyme or E2) and Cdc53p (a cullin) subunits of SCF	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010937	MED7	GI:6324437	-	-	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010938	CDC33	GI:6324433	-	-	Cytoplasmic mRNA cap binding protein and translation initiation factor eIF4E; the eIF4E-cap complex is responsible for mediating cap-dependent mRNA translation via interactions with translation initiation factor eIF4G (Tif4631p or Tif4632p)	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010939	NOP8	GI:6324428	-	-	Nucleolar protein required for 60S ribosomal subunit biogenesis	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010940	PSF3	GI:37362690	-	-	Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p), which is localized to DNA replication origins and implicated in assembly of the DNA replication machinery	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010941	DCP1	GI:6324423	-	-	Subunit of the Dcp1p-Dcp2p decapping enzyme complex, which removes the 5' cap structure from mRNAs prior to their degradation; enhances the activity of catalytic subunit Dcp2p; regulated by DEAD box protein Dhh1p	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010942	UTP23	GI:6324577	-	-	Essential nucleolar protein that is a component of the SSU (small subunit) processome involved in 40S ribosomal subunit biogenesis; has homology to PINc domain protein Fcf1p, although the PINc domain of Utp23p is not required for function	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010943	HSP10	GI:6324594	-	-	Mitochondrial matrix co-chaperonin that inhibits the ATPase activity of Hsp60p, a mitochondrial chaperonin; involved in protein folding and sorting in the mitochondria; 10 kD heat shock protein with similarity to E. coli groES	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010944	DBP5	GI:6324620	-	-	Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family involved in mRNA export from the nucleus; involved in translation termination	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010945	RAT1	GI:6324622	-	-	Nuclear 5' to 3' single-stranded RNA exonuclease, involved in RNA metabolism, including rRNA and snRNA processing as well as mRNA transcription termination	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010946	NOB1	GI:6324630	-	-	Essential nuclear protein involved in proteasome maturation and synthesis of 40S ribosomal subunits; required for cleavage of the 20S pre-rRNA to generate the mature 18S rRNA	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010947	SGT1	GI:6324631	-	-	Cochaperone protein; regulates activity of adenylyl cyclase Cyr1p; involved in kinetochore complex assembly; associates with the SCF (Skp1p/Cdc53p/F box protein) ubiquitin ligase complex; acts as a linker between Skp1p and HSP90 complexes	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010948	YOR060C	GI:6324634	-	-	Protein of unknown function required for cell viability; deletion mutant harbors aberrant mitochondria	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010949	RPL3	GI:6324637	-	-	Protein component of the large (60S) ribosomal subunit, has similarity to E. coli L3 and rat L3 ribosomal proteins; involved in the replication and maintenance of killer double stranded RNA virus	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010950	CDC21	GI:83578104	-	-	Thymidylate synthase, required for de novo biosynthesis of pyrimidine deoxyribonucleotides; expression is induced at G1/S	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010951	UFE1	GI:6324649	-	-	t-SNARE required for ER membrane fusion and vesicular traffic, integral membrane protein that constitutes with Sec20p and Use1p the trimeric acceptor for R/v-SNAREs on Golgi-derived vesicles at the ER; part of Dsl1p complex	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010952	RTS2	GI:6324651	-	-	Basic zinc-finger protein, similar to human and mouse Kin17 proteins which are chromatin-associated proteins involved in UV response and DNA replication	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010953	RKI1	GI:6324669	-	-	Ribose-5-phosphate ketol-isomerase, catalyzes the interconversion of ribose 5-phosphate and ribulose 5-phosphate in the pentose phosphate pathway; participates in pyridoxine biosynthesis	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010954	NUP1	GI:6324672	-	-	Nuclear pore complex (NPC) subunit, involved in protein import/export and in export of RNAs, possible karyopherin release factor that accelerates release of karyopherin-cargo complexes after transport across NPC; potential Cdc28p substrate	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010955	OST2	GI:37362695	-	-	Epsilon subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010956	VAM3	GI:6324680	-	-	Syntaxin-related protein required for vacuolar assembly; functions with Vam7p in vacuolar protein trafficking; member of the syntaxin family of proteins	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010957	TFC7	GI:6324684	-	-	One of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010958	RPO31	GI:6324690	-	-	RNA polymerase III subunit C160, part of core enzyme; similar to bacterial beta-prime subunit	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010959	RPT5	GI:6324691	-	-	One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; recruited to the GAL1-10 promoter region upon induction of transcription	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010960	RIO1	GI:6324693	-	-	Essential serine kinase involved in cell cycle progression and processing of the 20S pre-rRNA into mature 18S rRNA	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010961	PFY1	GI:6324696	-	-	Profilin, actin- and phosphatidylinositol 4,5-bisphosphate-binding protein, involved in cytoskeleton organization, required for normal timing of actin polymerization in response to thermal stress; localizes to plasma membrane and cytosol	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010962	THI80	GI:6324717	-	-	Thiamine pyrophosphokinase, phosphorylates thiamine to produce the coenzyme thiamine pyrophosphate (thiamine diphosphate)	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010963	SPP2	GI:6324722	-	-	Essential protein that promotes the first step of splicing and is required for the final stages of spliceosome maturation; interacts with Prp2p, which may release Spp2p from the spliceosome following the first cleavage reaction	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010964	SMP3	GI:6324723	-	-	Alpha 1,2-mannosyltransferase involved in glycosyl phosphatidyl inositol (GPI) biosynthesis; required for addition of the fourth, side branching mannose to the GPI core structure	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010965	RPB2	GI:6324725	-	-	RNA polymerase II second largest subunit B150, part of central core; similar to bacterial beta subunit	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010966	PUP1	GI:6324731	-	-	Beta 2 subunit of the 20S proteasome; endopeptidase with trypsin-like activity that cleaves after basic residues; synthesized as a proprotein before being proteolytically processed for assembly into 20S particle; human homolog is subunit Z	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010967	SME1	GI:6324733	-	-	Core Sm protein Sm E; part of heteroheptameric complex (with Smb1p, Smd1p, Smd2p, Smd3p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm E	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010968	MTR10	GI:6324734	-	-	Nuclear import receptor, mediates the nuclear localization of proteins involved in mRNA-nucleus export; promotes dissociation of mRNAs from the nucleus-cytoplasm mRNA shuttling protein Npl3p	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010969	GLN4	GI:6324742	-	-	Glutamine tRNA synthetase, monomeric class I tRNA synthetase that catalyzes the specific glutaminylation of tRNA(Glu); N-terminal domain proposed to be involved in enzyme-tRNA interactions	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010970	MED4	GI:6324748	-	-	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010971	HEM15	GI:6324750	-	-	Ferrochelatase, a mitochondrial inner membrane protein, catalyzes the insertion of ferrous iron into protoporphyrin IX, the eighth and final step in the heme biosynthetic pathway	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010972	LAS17	GI:6324755	-	-	Actin assembly factor, activates the Arp2/3 protein complex that nucleates branched actin filaments; localizes with the Arp2/3 complex to actin patches; homolog of the human Wiskott-Aldrich syndrome protein (WASP)	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010973	TOA1	GI:6324768	-	-	TFIIA large subunit; involved in transcriptional activation, acts as antirepressor or as coactivator; homologous to largest and second largest subunits of human and Drosophila TFIIA	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010974	DED1	GI:6324778	-	-	ATP-dependent DEAD (Asp-Glu-Ala-Asp)-box RNA helicase, required for translation initiation of all yeast mRNAs; mutations in human DEAD-box DBY are a frequent cause of male infertility	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010975	NOC2	GI:6324780	-	-	Protein that forms a nucleolar complex with Mak21p that binds to 90S and 66S pre-ribosomes, as well as a nuclear complex with Noc3p that binds to 66S pre-ribosomes; both complexes mediate intranuclear transport of ribosomal precursors	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010976	RET1	GI:6324781	-	-	Second-largest subunit of RNA polymerase III, which is responsible for the transcription of tRNA and 5S RNA genes, and other low molecular weight RNAs	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010977	RPB10	GI:6324784	-	-	RNA polymerase subunit ABC10-beta, common to RNA polymerases I, II, and III	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010978	RFC1	GI:6324791	-	-	Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010979	RPB8	GI:6324798	-	-	RNA polymerase subunit ABC14.5, common to RNA polymerases I, II, and III	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010980	WTM2	GI:6324803	-	-	Transcriptional modulator involved in regulation of meiosis, silencing, and expression of RNR genes; involved in response to replication stress; contains WD repeats	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010981	MGE1	GI:6324806	-	-	Protein of the mitochondrial matrix involved in protein import into mitochondria; acts as a cochaperone and a nucleotide release factor for Ssc1p; homolog of E. coli GrpE	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010982	KIN4	GI:6324807	-	-	Serine/threonine protein kinase that inhibits the mitotic exit network (MEN) when the spindle position checkpoint is activated; localized asymmetrically to mother cell cortex, spindle pole body and bud neck	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010983	DFR1	GI:6324810	-	-	Dihydrofolate reductase, part of the dTTP biosynthetic pathway, involved in folate metabolism, possibly required for mitochondrial function	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010984	ESA1	GI:6324818	-	-	Catalytic subunit of the histone acetyltransferase complex (NuA4) that acetylates four conserved internal lysines of histone H4 N-terminal tail; required for cell cycle progression and transcriptional silencing at the rDNA locus	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010985	APC5	GI:6324823	-	-	Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010986	CLP1	GI:6324824	-	-	Subunit of cleavage factor I (CFI), involved in both the endonucleolyitc cleavage and polyadenylation steps of mRNA 3'-end maturation	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010987	SEC63	GI:6324828	-	-	Essential subunit of Sec63 complex (Sec63p, Sec62p, Sec66p and Sec72p); with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010988	TRE2	GI:6324830	-	-	Protein that functions with Tre1p to regulate ubiquitylation and vacuolar degradation of the metal transporter Smf1p; has similarity to transferrin receptors; inviability of null mutant in systematic studies is due to proximity to CDC31	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010989	CDC31	GI:6324831	-	-	Calcium-binding component of the spindle pole body (SPB) half-bridge, required for SPB duplication in mitosis and meiosis II; homolog of mammalian centrin; binds multiubiquitinated proteins and is involved in proteasomal protein degradation	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010990	RPT4	GI:6324833	-	-	One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; required for spindle pole body duplication; localized mainly to the nucleus throughout the cell cycle	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010991	GCD1	GI:6324834	-	-	Gamma subunit of the translation initiation factor eIF2B, the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a negative regulator of GCN4 expression	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010992	RPN8	GI:6324835	-	-	Essential, non-ATPase regulatory subunit of the 26S proteasome; has similarity to the human p40 proteasomal subunit and to another S. cerevisiae regulatory subunit, Rpn11p	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010993	YOR262W	GI:6324836	-	-	Protein of unknown function required for establishment of sister chromatid cohesion; contains an ATP/GTP binding site motif; similar to YLR243W and is highly conserved across species and homologous to human gene GPN2/ATPBD1B	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010994	FSF1	GI:6324845	-	-	Putative protein, predicted to be an alpha-isopropylmalate carrier; belongs to the sideroblastic-associated protein family; non-tagged protein is detected in purified mitochondria; likely to play a role in iron homeostasis	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010995	YTM1	GI:6324846	-	-	Constituent of 66S pre-ribosomal particles, required for maturation of the large ribosomal subunit	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010996	HEM4	GI:6324852	-	-	Uroporphyrinogen III synthase, catalyzes the conversion of hydroxymethylbilane to uroporphyrinogen III, the fourth step in heme biosynthesis; deficiency in the human homolog can result in the disease congenital erythropoietic porphyria	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010997	PLP2	GI:6324856	-	-	Essential protein with similarity to phosducins, which are G-protein regulators; interacts with CCT (chaperonin containing TCP-1) complex; lethality of null mutation is complemented by expression of mouse phosducin-like protein MgcPhLP	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010998	YOR287C	GI:6324861	-	-	Putative protein of unknown function; may play a role in the ribosome and rRNA biosynthesis based on expression profiles and mutant phenotype	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20010999	RRS1	GI:6324868	-	-	Essential protein that binds ribosomal protein L11 and is required for nuclear export of the 60S pre-ribosomal subunit during ribosome biogenesis; mouse homolog shows altered expression in Huntington's disease model mice	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20011000	NOP58	GI:6324886	-	-	Protein involved in pre-rRNA processing, 18S rRNA synthesis, and snoRNA synthesis; component of the small subunit processome complex, which is required for processing of pre-18S rRNA	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20011001	HSH49	GI:6324895	-	-	U2-snRNP associated splicing factor with similarity to the mammalian splicing factor SAP49; proposed to function as a U2-snRNP assembly factor along with Hsh155p and binding partner Cus1p; contains two RNA recognition motifs (RRM)	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20011002	MYO2	GI:6324902	-	-	One of two type V myosin motors (along with MYO4) involved in actin-based transport of cargos; required for the polarized delivery of secretory vesicles, the vacuole, late Golgi elements, peroxisomes, and the mitotic spindle	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20011003	SCD5	GI:6324905	-	-	Protein required for normal cortical actin organization and endocytosis; multicopy suppressor of clathrin deficiency; acts as a targeting subunit for protein phosphatase type 1	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20011004	ALA1	GI:6324911	-	-	Cytoplasmic and mitochondrial alanyl-tRNA synthetase, required for protein synthesis; point mutation (cdc64-1 allele) causes cell cycle arrest at G1; lethality of null mutation is functionally complemented by human homolog	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20011005	KRE5	GI:6324912	-	-	Protein required for beta-1,6 glucan biosynthesis; mutations result in aberrant morphology and severe growth defects	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20011006	RPA43	GI:6324916	-	-	RNA polymerase I subunit A43	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20011007	RPA190	GI:6324917	-	-	RNA polymerase I subunit; largest subunit of RNA polymerase I	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20011008	SOG2	GI:6324929	-	-	Key component of the RAM signaling network, required for proper cell morphogenesis and cell separation after mitosis	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20011009	PRT1	GI:6324937	-	-	Subunit of the core complex of translation initiation factor 3(eIF3), essential for translation; part of a subcomplex (Prt1p-Rpg1p-Nip1p) that stimulates binding of mRNA and tRNA(i)Met to ribosomes	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20011010	PRE10	GI:6324938	-	-	Alpha 7 subunit of the 20S proteasome	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20011011	MRS6	GI:6324946	-	-	Rab escort protein, forms a complex with the Ras-like small GTPase Ypt1p that is required for the prenylation of Ypt1p by protein geranylgeranyltransferase type II (Bet2p-Bet4p); sequence similarity to mammalian choroideraemia gene	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20011012	NDD1	GI:6324948	-	-	Transcriptional activator essential for nuclear division; localized to the nucleus; essential component of the mechanism that activates the expression of a set of late-S-phase-specific genes	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20011013	NUD1	GI:6324949	-	-	Component of the spindle pole body outer plaque, required for exit from mitosis	Saccharomyces cerevisiae	NC_001147	Rich medium
DEG20011014	TFC8	GI:6325250	-	-	One of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); part of TFIIIC TauB domain that binds BoxB promoter sites of tRNA and other genes; linker between TauB and TauA domains; human homolog is TFIIIC-90	Saccharomyces cerevisiae	NC_001148	Rich medium
DEG20011015	RET3	GI:6325247	-	-	Zeta subunit of the coatomer complex (COPI), which coats Golgi-derived transport vesicles; involved in retrograde transport between Golgi and ER	Saccharomyces cerevisiae	NC_001148	Rich medium
DEG20011016	TAF3	GI:6325246	-	-	TFIID subunit (47 kDa), involved in promoter binding and RNA polymerase II transcription initiation	Saccharomyces cerevisiae	NC_001148	Rich medium
