UniProtKB	DIP	Entry.name	Protein.names	Gene.names	Length	Gene.names.ORF	Gene.names.ordered.locus	Gene.names.synonym	Gene.names.primary	Cross.ref.RefSeq	Cross.ref.EnsembleFungi	Cross.ref.GeneID	Cross.ref.CYGD	Cross.ref.SGD	Probe.Set.IDs
Q12328	DIP-1142N	TIM22_YEAST	Mitochondrial import inner membrane translocase subunit TIM22	TIM22 YDL217C D0884	207	D0884	YDL217C	---	TIM22	NP_010064.1;	YDL217C;	851309;	YDL217c;	S000002376;	6691_at
P00331	DIP-1181N	ADH2_YEAST	Alcohol dehydrogenase 2 (EC 1.1.1.1) (Alcohol dehydrogenase II) (YADH-2)	ADH2 ADR2 YMR303C YM9952.05C	348	YM9952.05C	YMR303C	ADR2	ADH2	NP_014032.1;	YMR303C;	855349;	---	S000004918;	9309_at
P43560	DIP-1182N	YFE2_YEAST	Uncharacterized protein YFL042C	YFL042C	674	---	YFL042C	---	---	NP_116611.1;	YFL042C;	850501;	YFL042c;	S000001852;	5317_s_at
P38960	DIP-1230N	STN1_YEAST	Protein STN1	STN1 YDR082W D4456 YD8554.15	494	D4456 YD8554.15	YDR082W	---	STN1	NP_010367.1;	YDR082W;	851655;	YDR082w;	S000002489;	6406_at
P32797	DIP-1229N	CDC13_YEAST	Cell division control protein 13	CDC13 YDL220C	924	---	YDL220C	---	CDC13	NP_010061.1;	YDL220C;	851306;	YDL220c;	S000002379;	6687_at
Q12452	DIP-1237N	ERG27_YEAST	3-keto-steroid reductase (EC 1.1.1.270)	ERG27 YLR100W	347	---	YLR100W	---	ERG27	NP_013201.1;	YLR100W;	850790;	YLR100w;	S000004090;	10219_at
P40581	DIP-1275N	GPX3_YEAST	Peroxiredoxin HYR1 (EC 1.11.1.15) (Glutathione peroxidase 3) (Hydrogen peroxide resistance protein 1) (Oxidant receptor peroxidase 1) (Phospholipid hydroperoxide glutathione peroxidase 3) (PHGPx3)	HYR1 GPX3 ORP1 YIR037W	163	---	YIR037W	GPX3 ORP1	HYR1	NP_012303.1;	YIR037W;	854855;	YIR037w;	S000001476;	4073_at
P53691	DIP-1274N	PPID_YEAST	Peptidyl-prolyl cis-trans isomerase CPR6 (PPIase CPR6) (EC 5.2.1.8) (Rotamase CPR6)	CPR6 YLR216C L8167.24	371	L8167.24	YLR216C	---	CPR6	NP_013317.1;	YLR216C;	850914;	YLR216c;	S000004206;	10108_at
P32569	DIP-152N	MED17_YEAST	Mediator of RNA polymerase II transcription subunit 17 (Mediator complex subunit 17) (Suppressor of RNA polymerase B 4)	SRB4 MED17 YER022W	687	---	YER022W	MED17	SRB4	NP_010939.1;	YER022W;	856743;	YER022w;	S000000824;	5723_at
P53904	DIP-901N	TBCB_YEAST	Tubulin-specific chaperone B (Alpha-tubulin formation protein 1) (Tubulin-folding cofactor B)	ALF1 YNL148C N1201 N1777	254	N1201 N1777	YNL148C	---	ALF1	NP_014251.1;	YNL148C;	855574;	YNL148c;	S000005092;	9020_at
P33199	DIP-1221N	YGB5_YEAST	Uncharacterized protein YGL015C	YGL015C YGL026	130	YGL026	YGL015C	---	---	NP_011500.3;	YGL015C;	852869;	YGL015c;	S000002983;	5002_at
Q03697	DIP-1312N	YMD8_YEAST	Putative nucleotide-sugar transporter YMD8	YMD8 YML038C	442	---	YML038C	---	YMD8	NP_013674.1;	YML038C;	854970;	YML038c;	S000004502;	9670_at
P38086	DIP-792N	RDH54_YEAST	DNA repair and recombination protein RDH54 (RAD homolog 54) (Recombination factor TID1) (Two hybrid interaction with DMC1 protein 1) [Includes: DNA topoisomerase (EC 5.99.1.-); Putative helicase (EC 3.6.4.12)]	RDH54 TID1 YBR073W YBR0715	958	YBR0715	YBR073W	TID1	RDH54	NP_009629.6;	YBR073W;	852365;	YBR073w;	S000000277;	7296_at
Q04493	DIP-1332N	PFD5_YEAST	Prefoldin subunit 5 (Genes involved in microtubule biogenesis protein 5) (Gim complex subunit 5) (GimC subunit 5)	GIM5 PFD5 YML094W	163	---	YML094W	PFD5	GIM5	NP_013616.1;	YML094W;	854879;	YML094w;	S000004559;	9751_at
P52553	DIP-1333N	PFD6_YEAST	Prefoldin subunit 6 (Genes involved in microtubule biogenesis protein 1) (Gim complex subunit 1) (GimC subunit 1)	YKE2 GIM1 PFD6 YLR200W L8167.8	114	L8167.8	YLR200W	GIM1 PFD6	YKE2	NP_013301.1;	YLR200W;	850897;	YLR200w;	S000004190;	10135_at
Q08273	DIP-1373N	RBX1_YEAST	RING-box protein HRT1 (RING-box protein 1) (E3 ubiquitin-protein ligase complex SCF subunit HRT1) (High level expression reduces Ty3 transposition protein 1) (Regulator of cullins protein 1)	HRT1 RBX1 ROC1 YOL133W	121	---	YOL133W	RBX1 ROC1	HRT1	NP_014508.1;	YOL133W;	853986;	YOL133w;	S000005493;	8701_at
P40560	DIP-1375N	YIA1_YEAST	Ankyrin repeat-containing protein YIL001W	YIL001W YIA1W	513	YIA1W	YIL001W	---	---	NP_012265.3;	YIL001W;	854816;	YIL001w;	S000001263;	4081_at
P38853	DIP-1403N	KEL1_YEAST	Kelch repeat-containing protein 1	KEL1 YHR158C	1164	---	YHR158C	---	KEL1	NP_012028.1;	YHR158C;	856563;	YHR158c;	S000001201;	4363_at
Q03231	DIP-1405N	YM46_YEAST	Uncharacterized protein YMR181C	YMR181C YM8010.11C	154	YM8010.11C	YMR181C	---	---	NP_013906.1;	YMR181C;	855219;	YMR181c;	S000004793;	9451_at
Q06159	DIP-1453N	YL312_YEAST	Uncharacterized membrane protein YLR312C	YLR312C	398	---	YLR312C	---	---	NP_013415.1;	YLR312C;	851021;	YLR312c;	S000004303;	10027_at
Q99316	DIP-1451N	MPD2_YEAST	Protein disulfide isomerase MPD2 (EC 5.3.4.1)	MPD2 YOL088C O0941	277	O0941	YOL088C	---	MPD2	NP_014553.1;	YOL088C;	854065;	YOL088c;	S000005448;	8655_at
P52918	DIP-1459N	MSN5_YEAST	Protein MSN5	MSN5 YDR335W D9651.5	1224	D9651.5	YDR335W	---	MSN5	NP_010622.1;	YDR335W;	851935;	YDR335w;	S000002743;	6121_at
Q12753	DIP-1462N	HAA1_YEAST	Transcriptional activator HAA1	HAA1 YPR008W LPZ8W YP9531.01 YP9723.08	694	LPZ8W YP9531.01 YP9723.08	YPR008W	---	HAA1	NP_015333.1;	YPR008W;	856117;	YPR008w;	S000006212;	7760_at
P16861	DIP-1505N	PFKA1_YEAST	ATP-dependent 6-phosphofructokinase subunit alpha (EC 2.7.1.11) (ATP-dependent 6-phosphofructokinase) (ATP-PFK) (Phosphofructokinase 1) (Phosphohexokinase)	PFK1 YGR240C G8599	987	G8599	YGR240C	---	PFK1	NP_011756.1;	YGR240C;	853155;	YGR240c;	S000003472;	4760_at
P50102	DIP-1506N	UBP8_YEAST	Ubiquitin carboxyl-terminal hydrolase 8 (EC 3.4.19.12) (Deubiquitinating enzyme 8) (Ubiquitin thioesterase 8) (Ubiquitin-specific-processing protease 8)	UBP8 YMR223W YM9959.05	471	YM9959.05	YMR223W	---	UBP8	NP_013950.1;	YMR223W;	855263;	YMR223w;	S000004836;	9405_at
P47042	DIP-1521N	IKS1_YEAST	Probable serine/threonine-protein kinase IKS1 (EC 2.7.11.1) (IRA1 kinase suppressor 1)	IKS1 YJL057C J1143	667	J1143	YJL057C	---	IKS1	NP_012478.3;	YJL057C;	853389;	YJL057c;	S000003593;	11100_at
P39685	DIP-1520N	PO152_YEAST	Nucleoporin POM152 (Nuclear pore protein POM152) (P150) (Pore membrane protein POM152)	POM152 YMR129W YM9553.05	1337	YM9553.05	YMR129W	---	POM152	NP_013848.1;	YMR129W;	855159;	YMR129w;	S000004736;	9528_at
P32337	DIP-1533N	IMB3_YEAST	Importin subunit beta-3 (Karyopherin subunit beta-3) (Karyopherin-121) (Protein secretion enhancer 1)	PSE1 KAP121 YMR308C YM9952.10C	1089	YM9952.10C	YMR308C	KAP121	PSE1	NP_014039.1;	YMR308C;	855356;	YMR308c;	S000004925;	9316_at
P38910	DIP-1483N	CH10_YEAST	10 kDa heat shock protein, mitochondrial (HSP10) (10 kDa chaperonin)	HSP10 CPN10 YOR020C OR26.10	106	OR26.10	YOR020C	CPN10	HSP10	NP_014663.1;	YOR020C;	854185;	YOR020c;	S000005546;	8538_at
Q06672	DIP-1584N	TSR2_YEAST	Pre-rRNA-processing protein TSR2 (20S rRNA accumulation protein 2)	TSR2 YLR435W	205	---	YLR435W	---	TSR2	NP_013539.4;	YLR435W;	851154;	YLR435w;	S000004427;	9882_at
P39938	DIP-1396N	RS26A_YEAST	40S ribosomal protein S26-A	RPS26A RPS26 YGL189C G1355	119	G1355	YGL189C	RPS26	RPS26A	NP_011326.1;	YGL189C;	852686;	YGL189c;	S000003157;	5190_i_at;5191_f_at
P46989	DIP-1606N	ATG27_YEAST	Autophagy-related protein 27 (Enhancer of VPS34 missorting protein 1)	ATG27 ETF1 YJL178C J0490	271	J0490	YJL178C	ETF1	ATG27	NP_012357.2;	YJL178C;	853261;	YJL178c;	S000003714;	11202_at
P53036	DIP-1604N	SAP4_YEAST	SIT4-associating protein SAP4	SAP4 YGL229C	818	---	YGL229C	---	SAP4	NP_011285.1;	YGL229C;	852622;	YGL229c;	S000003198;	5240_at
P32259	DIP-1617N	MED16_YEAST	Mediator of RNA polymerase II transcription subunit 16 (Global transcriptional regulator SIN4) (Mediator complex subunit 16) (SNF1 suppressor protein 4) (SWI4 suppressor protein 5) (Transcriptional silencing factor 3) (YGP1 expression regulatory protein 1)	SIN4 BEL2 GAL22 MED16 RYE1 SDI3 SSF5 SSN4 TSF3 YNL236W N1135	974	N1135	YNL236W	BEL2 GAL22 MED16 RYE1 SDI3 SSF5 SSN4 TSF3	SIN4	NP_014163.1;	YNL236W;	855485;	YNL236w;	S000005180;	9112_at
P53230	DIP-1622N	TAM41_YEAST	Phosphatidate cytidylyltransferase, mitochondrial (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (Mitochondrial import protein MMP37) (Mitochondrial matrix protein of 37 kDa) (Mitochondrial translocator assembly and maintenance protein 41)	TAM41 MMP37 YGR046W	385	---	YGR046W	MMP37	TAM41	NP_011560.3;	YGR046W;	852937;	YGR046w;	S000003278;	4972_at
P36131	DIP-1649N	SPC34_YEAST	DASH complex subunit SPC34 (34 kDa spindle pole component protein) (Outer kinetochore protein SPC34)	SPC34 YKR037C	295	---	YKR037C	---	SPC34	NP_012963.3;	YKR037C;	853909;	YKR037c;	S000001745;	10554_at
P38302	DIP-1683N	NTC20_YEAST	Pre-mRNA-splicing factor NTC20 (PRP19-associated complex protein 20) (Synergistic to PRP19 mutation protein 384)	NTC20 SNT384 YBR188C YBR1316	140	YBR1316	YBR188C	SNT384	NTC20	NP_009747.3;	YBR188C;	852486;	YBR188c;	S000000392;	7189_at
Q12309	DIP-1685N	CLF1_YEAST	Pre-mRNA-splicing factor CLF1 (Crooked neck-like factor 1) (PRP19-associated complex protein 77) (Synthetic lethal with CDC40 protein 3)	CLF1 NTC77 SYF3 YLR117C L2952	687	L2952	YLR117C	NTC77 SYF3	CLF1	NP_013218.1;	YLR117C;	850808;	YLR117c;	S000004107;	10236_at
Q04226	DIP-1686N	TAF11_YEAST	Transcription initiation factor TFIID subunit 11 (TAFII-40) (TAFII40) (TBP-associated factor 11) (TBP-associated factor 40 kDa) (P40)	TAF11 TAF40 YML015C YM9571.03C	346	YM9571.03C	YML015C	TAF40	TAF11	NP_013697.1;	YML015C;	854993;	YML015c;	S000004477;	9649_at
P22209	DIP-1646N	KIN3_YEAST	Serine/threonine-protein kinase KIN3 (EC 2.7.11.1)	KIN3 NPK1 YAR018C FUN52	435	FUN52	YAR018C	NPK1	KIN3	NP_009410.1;	YAR018C;	851273;	YAR018c;	S000000071;	11331_at
P38987	DIP-1691N	TEM1_YEAST	Protein TEM1	TEM1 YML064C	245	---	YML064C	---	TEM1	NP_013647.1;	YML064C;	854938;	YML064c;	S000004529;	9690_at
P33296	DIP-1713N	UBC6_YEAST	Ubiquitin-conjugating enzyme E2 6 (EC 6.3.2.19) (Ubiquitin carrier protein UBC6) (Ubiquitin-protein ligase UBC6)	UBC6 DOA2 YER100W	250	---	YER100W	DOA2	UBC6	NP_011026.3;	YER100W;	856837;	YER100w;	S000000902;	5631_at
P23641	DIP-1714N	MPCP_YEAST	Mitochondrial phosphate carrier protein (Mitochondrial import receptor) (Phosphate transport protein) (PTP) (mPic 1) (p32) [Cleaved into: Mitochondrial phosphate carrier protein, N-terminally processed]	MIR1 YJR077C J1837	311	J1837	YJR077C	---	MIR1	NP_012611.1;	YJR077C;	853540;	YJR077c;	S000003838;	10961_at
P38247	DIP-1763N	SLM4_YEAST	Protein SLM4 (EGO complex subunit 3) (GSE complex subunit 1)	SLM4 EGO3 GSE1 YBR077C YBR0723	162	YBR0723	YBR077C	EGO3 GSE1	SLM4	NP_009633.3;	YBR077C;	852369;	YBR077c;	S000000281;	7300_at
P40959	DIP-1764N	MVP1_YEAST	Sorting nexin MVP1	MVP1 YMR004W YM8270.06	511	YM8270.06	YMR004W	---	MVP1	NP_013717.1;	YMR004W;	855016;	YMR004w;	S000004606;	9626_at
P40480	DIP-1765N	HOS4_YEAST	Protein HOS4	HOS4 YIL112W	1083	---	YIL112W	---	HOS4	NP_012154.1;	YIL112W;	854694;	YIL112w;	S000001374;	4199_at
P38262	DIP-1377N	SIF2_YEAST	SIR4-interacting protein SIF2	SIF2 EMB1 YBR103W YBR0832	535	YBR0832	YBR103W	EMB1	SIF2	NP_009661.1;	YBR103W;	852399;	YBR103w;	S000000307;	7239_at
Q03220	DIP-1776N	CTL1_YEAST	Polynucleotide 5'-triphosphatase (EC 3.1.3.33) (mRNA 5'-triphosphatase) (TPase)	CTL1 YMR180C YM8010.10C	320	YM8010.10C	YMR180C	---	CTL1	NP_013905.1;	YMR180C;	855218;	YMR180c;	S000004792;	9450_at
P41913	DIP-1368N	GDS1_YEAST	Protein GDS1	GDS1 YOR355W	522	---	YOR355W	---	GDS1	NP_015000.3;	YOR355W;	854537;	YOR355w;	S000005882;	8199_at
Q04893	DIP-1384N	YM96_YEAST	Uncharacterized protein YMR317W	YMR317W YM9924.09	1140	YM9924.09	YMR317W	---	---	NP_014050.2;	YMR317W;	855366;	YMR317w;	S000004936;	9282_at
P53115	DIP-1386N	INO80_YEAST	Putative DNA helicase INO80 (EC 3.6.4.12) (Inositol-requiring protein 80)	INO80 YGL150C G1880	1489	G1880	YGL150C	---	INO80	NP_011365.1;	YGL150C;	852728;	YGL150c;	S000003118;	5139_at
P32334	DIP-1455N	MSB2_YEAST	Signaling mucin MSB2 (Multicopy suppressor of bud emergence 2) (Osmosensor MSB2)	MSB2 YGR014W	1306	---	YGR014W	---	MSB2	NP_011528.3;	YGR014W;	852897;	YGR014w;	S000003246;	4987_at
P14741	DIP-1328N	EI2BA_YEAST	Translation initiation factor eIF-2B subunit alpha (GCD complex subunit GCN3) (Guanine nucleotide exchange factor subunit GCN3) (Transcriptional activator GCN3) (eIF-2B GDP-GTP exchange factor subunit alpha)	GCN3 AAS2 TIF221 YKR026C	305	---	YKR026C	AAS2 TIF221	GCN3	NP_012951.1;	YKR026C;	853896;	YKR026c;	S000001734;	10543_at
P28239	DIP-1522N	IPYR2_YEAST	Inorganic pyrophosphatase, mitochondrial (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	PPA2 IPP2 YMR267W YM8156.09	310	YM8156.09	YMR267W	IPP2	PPA2	NP_013994.1;	YMR267W;	855309;	YMR267w;	S000004880;	9361_at
P24280	DIP-1610N	SEC14_YEAST	SEC14 cytosolic factor (Phosphatidylinositol/phosphatidylcholine transfer protein) (PI/PC TP)	SEC14 PIT1 YMR079W YM9582.04	304	YM9582.04	YMR079W	PIT1	SEC14	NP_013796.1;	YMR079W;	855103;	---	S000004684;	9565_at
Q04048	DIP-1681N	SYF1_YEAST	Pre-mRNA-splicing factor SYF1 (PRP19-associated complex protein 90) (Synthetic lethal with CDC40 protein 1)	SYF1 NTC90 YDR416W	859	---	YDR416W	NTC90	SYF1	NP_010704.1;	YDR416W;	852025;	YDR416w;	S000002824;	6067_at
P15315	DIP-1335N	CUP2_YEAST	Transcriptional activator protein CUP2 (Copper-fist transcription factor)	CUP2 ACE1 YGL166W G1810	225	G1810	YGL166W	ACE1	CUP2	NP_011349.3;	YGL166W;	852710;	YGL166w;	S000003134;	5169_at
Q04233	DIP-1334N	GIS4_YEAST	Protein GIS4	GIS4 YML006C YM9571.13C	774	YM9571.13C	YML006C	---	GIS4	NP_013708.1;	YML006C;	855006;	YML006c;	S000004465;	9663_at
Q07442	DIP-1337N	BDF2_YEAST	Bromodomain-containing factor 2	BDF2 YDL070W	638	---	YDL070W	---	BDF2	NP_010213.1;	YDL070W;	851488;	YDL070w;	S000002228;	6528_at
P32598	DIP-1336N	PP12_YEAST	Serine/threonine-protein phosphatase PP1-2 (EC 3.1.3.16)	GLC7 CID1 DIS2 YER133W	312	---	YER133W	CID1 DIS2	GLC7	NP_011059.3;	YER133W;	856870;	YER133w;	S000000935;	5573_at;5574_at
P34758	DIP-1341N	SCD5_YEAST	Protein SCD5 (Protein FTB1)	SCD5 FTB1 YOR329C	872	---	YOR329C	FTB1	SCD5	NP_014974.3;	YOR329C;	854507;	YOR329c;	S000005856;	8219_at
Q03898	DIP-1342N	FIN1_YEAST	Filament protein FIN1 (Filaments in between nuclei protein 1)	FIN1 YDR130C YD9302.05C	291	YD9302.05C	YDR130C	---	FIN1	NP_010415.1;	YDR130C;	851708;	YDR130c;	S000002537;	6365_at
P38812	DIP-1343N	GEP4_YEAST	Phosphatidylglycerophosphatase GEP4, mitochondrial (EC 3.1.3.27) (Genetic interactor of prohibitins 4) (PGP phosphatase GEP4)	GEP4 YHR100C	185	---	YHR100C	---	GEP4	NP_011968.1;	YHR100C;	856500;	YHR100c;	S000001142;	4437_at
Q12507	DIP-1344N	SFG1_YEAST	Superficial pseudohyphal growth protein 1	SFG1 YOR315W O6128	346	O6128	YOR315W	---	SFG1	NP_014960.1;	YOR315W;	854493;	YOR315w;	S000005842;	8251_at
P38693	DIP-1325N	PPAC_YEAST	Acid phosphatase PHO12 (EC 3.1.3.2)	PHO12 YHR215W	467	---	YHR215W	---	PHO12	NP_012087.1;	YHR215W;	856625;	YHR215w;	S000001258;	11262_s_at
P07262	DIP-1329N	DHE4_YEAST	NADP-specific glutamate dehydrogenase 1 (NADP-GDH 1) (EC 1.4.1.4) (NADP-dependent glutamate dehydrogenase 1)	GDH1 URE1 YOR375C	454	---	YOR375C	URE1	GDH1	NP_015020.3;	YOR375C;	854557;	YOR375c;	S000005902;	8174_at
P47017	DIP-1330N	LSM1_YEAST	Sm-like protein LSm1 (SPB8 protein)	LSM1 SPB8 YJL124C J0714	172	J0714	YJL124C	SPB8	LSM1	NP_012411.1;	YJL124C;	853318;	YJL124c;	S000003660;	11125_at
P32505	DIP-1331N	NAB2_YEAST	Nuclear polyadenylated RNA-binding protein NAB2	NAB2 YGL122C	525	---	YGL122C	---	NAB2	NP_011393.3;	YGL122C;	852755;	YGL122c;	S000003090;	5120_at
P38229	DIP-1339N	GIP1_YEAST	GLC7-interacting protein 1	GIP1 YBR045C YBR0420	639	YBR0420	YBR045C	---	GIP1	NP_009601.2;	YBR045C;	852334;	YBR045c;	S000000249;	7313_at
P32521	DIP-1340N	PAN1_YEAST	Actin cytoskeleton-regulatory complex protein PAN1 (Mitochondrial distribution of proteins protein 3)	PAN1 DIM2 MDP3 MIP3 YIR006C YIB6C	1480	YIB6C	YIR006C	DIM2 MDP3 MIP3	PAN1	NP_012271.3;	YIR006C;	854822;	YIR006c;	S000001445;	4087_at
P05085	DIP-1346N	ARGR2_YEAST	Arginine metabolism regulation protein II (Arginine-requiring protein 81)	ARG81 ARGR2 YML099C	880	---	YML099C	ARGR2	ARG81	NP_013610.1;	YML099C;	854874;	YML099c;	S000004565;	9745_at
P38224	DIP-1347N	FIG1_YEAST	Factor-induced gene 1 protein	FIG1 YBR040W YBR0410	298	YBR0410	YBR040W	---	FIG1	NP_009596.1;	YBR040W;	852328;	YBR040w;	S000000244;	7308_at
P43577	DIP-1349N	GNA1_YEAST	Glucosamine 6-phosphate N-acetyltransferase (EC 2.3.1.4) (Phosphoglucosamine acetylase) (Phosphoglucosamine transacetylase)	GNA1 PAT1 YFL017C	159	---	YFL017C	PAT1	GNA1	NP_116637.1;	YFL017C;	850529;	YFL017c;	S000001877;	5369_at
P41911	DIP-1348N	GPD2_YEAST	Glycerol-3-phosphate dehydrogenase [NAD(+)] 2, mitochondrial (EC 1.1.1.8)	GPD2 GPD3 YOL059W O1222	440	O1222	YOL059W	GPD3	GPD2	NP_014582.1;	YOL059W;	854095;	YOL059w;	S000005420;	8592_at
Q02784	DIP-1352N	GLRX5_YEAST	Monothiol glutaredoxin-5, mitochondrial	GRX5 YPL059W LPE13W	150	LPE13W	YPL059W	---	GRX5	NP_015266.1;	YPL059W;	856048;	YPL059w;	S000005980;	7830_at
P46944	DIP-1354N	TRS85_YEAST	Trafficking protein particle complex III-specific subunit 85 (TRAPP III-specific subunit 85) (Muddled meiosis protein 1) (Sporulation protein GSG1) (Transport protein particle 85 kDa subunit)	TRS85 GSG1 MUM1 YDR108W YD9727.04	698	YD9727.04	YDR108W	GSG1 MUM1	TRS85	NP_010393.3;	YDR108W;	851686;	YDR108w;	S000002515;	6388_at
P39676	DIP-1355N	FHP_YEAST	Flavohemoprotein (EC 1.14.12.17) (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD)	YHB1 YHB YGR234W G8572	399	G8572	YGR234W	YHB	YHB1	NP_011750.1;	YGR234W;	853149;	YGR234w;	S000003466;	4754_at
P47123	DIP-1356N	MOG1_YEAST	Nuclear import protein MOG1 (Multicopy suppressor of GSP1)	MOG1 YJR074W J1827	218	J1827	YJR074W	---	MOG1	NP_012608.1;	YJR074W;	853537;	YJR074w;	S000003835;	10958_at
P32836	DIP-1357N	GSP2_YEAST	GTP-binding nuclear protein GSP2/CNR2	GSP2 CNR2 YOR185C	220	---	YOR185C	CNR2	GSP2	NP_014828.1;	YOR185C;	854357;	YOR185c;	S000005711;	8387_at
P42944	DIP-1359N	GZF3_YEAST	Protein GZF3	GZF3 YJL110C J0806	551	J0806	YJL110C	---	GZF3	NP_012425.1;	YJL110C;	853334;	YJL110c;	S000003646;	11137_at
P53973	DIP-1360N	HDA1_YEAST	Histone deacetylase HDA1 (EC 3.5.1.98)	HDA1 YNL021W N2819	706	N2819	YNL021W	---	HDA1	NP_014377.1;	YNL021W;	855710;	YNL021w;	S000004966;	8874_at
P13434	DIP-1362N	HAP3_YEAST	Transcriptional activator HAP3 (UAS2 regulatory protein A)	HAP3 YBL021C YBL0441	144	YBL0441	YBL021C	---	HAP3	NP_009532.1;	YBL021C;	852260;	YBL021c;	S000000117;	7386_at
P06774	DIP-1361N	HAP2_YEAST	Transcriptional activator HAP2	HAP2 YGL237C	265	---	YGL237C	---	HAP2	NP_011277.1;	YGL237C;	852614;	YGL237c;	S000003206;	5231_at
Q02516	DIP-1363N	HAP5_YEAST	Transcriptional activator HAP5	HAP5 YOR358W	242	---	YOR358W	---	HAP5	NP_015003.1;	YOR358W;	854540;	YOR358w;	S000005885;	8202_at
Q12306	DIP-1364N	SMT3_YEAST	Ubiquitin-like protein SMT3	SMT3 YDR510W D9719.15	101	D9719.15	YDR510W	---	SMT3	NP_010798.1;	YDR510W;	852122;	YDR510w;	S000002918;	5979_at
Q08956	DIP-1367N	YIG1_YEAST	Protein YIG1	YIG1 YPL201C	461	---	YPL201C	---	YIG1	NP_015123.1;	YPL201C;	855900;	YPL201c;	S000006122;	7957_at
P40106	DIP-1366N	GPP2_YEAST	Glycerol-1-phosphate phosphohydrolase 2 (EC 3.1.3.21) ((DL)-glycerol-3-phosphatase 2) (Hyperosmolarity-responsive protein 2)	GPP2 HOR2 YER062C	250	---	YER062C	HOR2	GPP2	NP_010984.3;	YER062C;	856791;	YER062c;	S000000864;	5633_at
P04824	DIP-1369N	MEL1_YEASX	Alpha-galactosidase 1 (EC 3.2.1.22) (Alpha-D-galactoside galactohydrolase 1) (Melibiase 1)	MEL1	471	---	---	---	MEL1	---	---	---	---	S000029662;	---
P38957	DIP-1370N	SHU2_YEAST	Suppressor of hydroxyurea sensitivity protein 2	SHU2 YDR078C D4436	223	D4436	YDR078C	---	SHU2	NP_010363.1;	YDR078C;	851650;	YDR078c;	S000002485;	6402_at
Q99383	DIP-1371N	HRP1_YEAST	Nuclear polyadenylated RNA-binding protein 4 (Cleavage factor IB) (CFIB)	HRP1 NAB4 NAB5 YOL123W	534	---	YOL123W	NAB4 NAB5	HRP1	NP_014518.1;	YOL123W;	853997;	YOL123w;	S000005483;	8666_at
P38872	DIP-1372N	ADY1_YEAST	Prospore formation at selected spindle poles protein 1 (Accumulates dyads protein 1)	PFS1 ADY1 YHR185C	237	---	YHR185C	ADY1	PFS1	NP_012055.3;	YHR185C;	856591;	YHR185c;	S000001228;	4345_at
P14680	DIP-1374N	YAK1_YEAST	Dual specificity protein kinase YAK1 (EC 2.7.12.1)	YAK1 YJL141C J0652	807	J0652	YJL141C	---	YAK1	NP_012394.1;	YJL141C;	853300;	YJL141c;	S000003677;	11153_at
P39533	DIP-1376N	ACON2_YEAST	Homocitrate dehydratase, mitochondrial (EC 4.2.1.-) (Aconitase 2)	ACO2 YJL200C J0327	789	J0327	YJL200C	---	ACO2	NP_012335.1;	YJL200C;	853230;	YJL200c;	S000003736;	11226_at
P32432	DIP-1379N	SFP1_YEAST	Transcription factor SFP1 (Split finger protein 1)	SFP1 YLR403W L8084.4	683	L8084.4	YLR403W	---	SFP1	NP_013507.1;	YLR403W;	851119;	YLR403w;	S000004395;	9938_at
P53687	DIP-1378N	HST3_YEAST	NAD-dependent histone deacetylase HST3 (EC 3.5.1.-) (Homologous to SIR2 protein 3) (Regulatory protein SIR2 homolog 3)	HST3 YOR025W OR26.15	447	OR26.15	YOR025W	---	HST3	NP_014668.1;	YOR025W;	854190;	YOR025w;	S000005551;	8543_at
P25293	DIP-1380N	NAP1_YEAST	Nucleosome assembly protein	NAP1 YKR048C	417	---	YKR048C	---	NAP1	NP_012974.1;	YKR048C;	853922;	YKR048c;	S000001756;	10520_at
Q12692	DIP-1381N	H2AZ_YEAST	Histone H2A.Z	HTZ1 H2AZ HTA3 YOL012C O2345	134	O2345	YOL012C	H2AZ HTA3	HTZ1	NP_014631.1;	YOL012C;	854150;	---	S000005372;	8550_at
P41833	DIP-1382N	IME4_YEAST	N6-adenosine-methyltransferase IME4 (EC 2.1.1.62)	IME4 SPO8 YGL192W G1337	600	G1337	YGL192W	SPO8	IME4	NP_011323.3;	YGL192W;	852683;	YGL192w;	S000003160;	5187_at
P34243	DIP-1383N	HCS1_YEAST	DNA polymerase alpha-associated DNA helicase A (EC 3.6.4.12)	HCS1 DIP1 YKL017C	683	---	YKL017C	DIP1	HCS1	NP_012908.1;	YKL017C;	853852;	YKL017c;	S000001500;	10590_at
Q04431	DIP-1393N	KRE28_YEAST	Spindle pole body component KRE28	KRE28 YDR532C	385	---	YDR532C	---	KRE28	NP_010821.3;	YDR532C;	852145;	YDR532c;	S000002940;	5956_at
P25583	DIP-1401N	KAR4_YEAST	Karyogamy protein KAR4	KAR4 YCL055W YCL432 YCL55W	335	YCL432 YCL55W	YCL055W	---	KAR4	NP_009876.1;	YCL055W;	850303;	YCL055w;	S000000560;	6922_at
